lane,detection,light,sign
0.104212046,0.01004076,0.031670809,0.026904345
0.082968235,0.011668682,0.039648056,0.018449545
0.090399504,0.009491205,0.023635626,0.018399239
0.090915203,0.009141922,0.025706053,0.019125938
0.084291458,0.009459496,0.022235155,0.018516302
0.081736326,0.010014296,0.023165464,0.018520355
0.086817503,0.008708954,0.028643131,0.018877268
0.076290131,0.009057283,0.023648024,0.01891613
0.073936939,0.008367777,0.021577597,0.01558733
0.071532011,0.008285046,0.021668673,0.015299082
0.075650454,0.009321213,0.023678303,0.014812946
0.074114799,0.009454966,0.026893139,0.014739037
0.071360826,0.0092206,0.027123451,0.014626741
0.072865486,0.008733034,0.028469801,0.014627218
0.074738741,0.008744717,0.028177977,0.015048504
0.074408531,0.009135246,0.023994923,0.014823914
0.076797485,0.010015726,0.026026011,0.014505863
0.077172995,0.009990215,0.023646116,0.014714956
0.077240944,0.009417772,0.023635626,0.014710665
0.076578856,0.008655787,0.021941423,0.014430523
0.071618557,0.008291245,0.028510332,0.014625072
0.074430466,0.009394884,0.027313471,0.014561176
0.076527834,0.00867939,0.026240587,0.014932632
0.075656652,0.008667946,0.023687124,0.014625788
0.074117661,0.009943485,0.021331787,0.014561415
0.075263977,0.008656025,0.023622274,0.014900684
0.077003717,0.00941515,0.026389599,0.014751196
0.075396538,0.008664131,0.023209333,0.014700413
0.077444077,0.008662939,0.023244143,0.014673948
0.076380253,0.009387016,0.027718782,0.014811039
0.075205088,0.009044409,0.026506662,0.01472497
0.074988127,0.009946108,0.022930384,0.014799595
0.077868938,0.008705139,0.026925564,0.014877796
0.075821638,0.008298874,0.028170824,0.015070915
0.074869633,0.009515762,0.026412725,0.01492691
0.077983379,0.009078503,0.024101734,0.015005112
0.07710886,0.009438276,0.026648283,0.015039921
0.076133966,0.008360863,0.026480436,0.01497364
0.075968742,0.008700371,0.027090549,0.014941692
0.076157093,0.008682013,0.023897171,0.015220165
0.074421644,0.008776426,0.025439978,0.014894247
0.079116344,0.008728981,0.023614645,0.015347719
0.077157736,0.009034395,0.026361227,0.015309095
0.07070899,0.008620024,0.023686647,0.014757633
0.076596737,0.009414911,0.024121284,0.015057802
0.07781744,0.008929491,0.025481701,0.015385628
0.075936317,0.00848341,0.025873661,0.015464783
0.083672047,0.008833408,0.020947456,0.016144753
0.076496124,0.009085894,0.02730608,0.015494823
0.076332569,0.01261878,0.024072886,0.015347719
0.078810453,0.010739803,0.022953987,0.015207052
0.076108217,0.011251211,0.023104906,0.015299797
0.075971842,0.011443853,0.022058964,0.015712261
0.076281786,0.011543036,0.022814989,0.015375376
0.078552485,0.009883881,0.027915239,0.015464544
0.072615623,0.011254072,0.023859739,0.015732288
0.078262091,0.011628389,0.023548126,0.015596628
0.077288628,0.00989604,0.024739981,0.015342474
0.078190088,0.010895967,0.026721001,0.015305281
0.072733402,0.010289669,0.024873734,0.015512943
0.076496124,0.011807203,0.022052288,0.015773296
0.077038765,0.010454416,0.025183916,0.015349865
0.075991392,0.011322021,0.020587921,0.016027212
0.071950197,0.010415077,0.026559353,0.015468121
0.0753479,0.011317492,0.025058031,0.01565814
0.07599926,0.011362791,0.021581173,0.015549421
0.075521231,0.011342525,0.022600651,0.015571594
0.075838089,0.01129818,0.022611141,0.01563406
0.074965477,0.011301041,0.019476414,0.015570402
0.074986935,0.011307716,0.02771306,0.015855551
0.077475786,0.009933472,0.023121357,0.01582408
0.075671673,0.011247158,0.023434401,0.026488543
0.075620413,0.010817766,0.023732662,0.020063639
0.075491667,0.010824203,0.023933411,0.02045536
0.074283838,0.01125145,0.023564816,0.020357609
0.07714963,0.011263847,0.021655798,0.020661831
0.078263998,0.011316299,0.02950263,0.020874977
0.0750072,0.011251688,0.024283171,0.020736456
0.075798035,0.010276318,0.02427268,0.018576622
0.075148821,0.011254549,0.02440834,0.016380072
0.071794271,0.01125288,0.022886515,0.016771078
0.08288002,0.010824919,0.023071051,0.016296148
0.076159239,0.010341167,0.024781704,0.016495466
0.076261282,0.010323524,0.024275064,0.016774178
0.074066639,0.011245251,0.024466276,0.016562223
0.083268642,0.010312557,0.022628784,0.016493082
0.075404882,0.011278868,0.022339821,0.016457796
0.081265211,0.011973619,0.022517681,0.015804529
0.075959206,0.011401653,0.024992228,0.016233444
0.07962966,0.010873318,0.028663158,0.016471148
0.077105284,0.011248112,0.023124933,0.023227215
0.075743437,0.010837317,0.023840427,0.02657032
0.081738949,0.010350227,0.025559187,0.020879507
0.073968887,0.009931326,0.022695065,0.021002531
0.071812391,0.010891199,0.026369333,0.021003246
0.070312977,0.011324406,0.023897409,0.021576643
0.075505972,0.011301279,0.023669958,0.021358967
0.072891712,0.011274338,0.026021957,0.021821737
0.07528615,0.010324955,0.022328615,0.021275282
0.073148012,0.010277987,0.026909113,0.01723218
0.076467991,0.010318279,0.021677971,0.017240286
0.0747962,0.010855198,0.022369623,0.017259359
0.077595711,0.00989604,0.020781994,0.017034292
0.076107979,0.011250496,0.026918888,0.017152071
0.073806524,0.011221409,0.019499779,0.016669989
0.07371664,0.011231184,0.027716875,0.016676903
0.071874619,0.011219501,0.024262428,0.016636133
0.076068878,0.010308027,0.027196646,0.016549826
0.07546854,0.011220694,0.023901463,0.017072201
0.073839426,0.011282921,0.024127722,0.016667604
0.077686787,0.00989604,0.026413202,0.017273188
0.077725172,0.009871244,0.026316404,0.02539134
0.071395397,0.009892702,0.027081013,0.020829439
0.077406645,0.010310173,0.023961544,0.022143364
0.073027372,0.011900425,0.027721643,0.021264076
0.069809437,0.012457371,0.022144794,0.021475554
0.072937965,0.011829138,0.025005579,0.021321297
0.074760199,0.011339903,0.027419806,0.020593882
0.073946476,0.011268616,0.026360035,0.017702818
0.073325634,0.010367155,0.023757696,0.111887693
0.073711157,0.010295391,0.023324013,0.017026901
0.071536541,0.010309219,0.023075342,0.016962767
0.076169729,0.011212826,0.025188208,0.016791821
0.07175684,0.01129508,0.023801804,0.016724348
0.076478958,0.01030159,0.025920868,0.017386198
0.075186729,0.010343552,0.024072647,0.016720295
0.075969219,0.010315418,0.024161577,0.016835928
0.077029467,0.011292458,0.024398565,0.016978741
0.07264924,0.010491848,0.023906946,0.017098188
0.074154377,0.010335684,0.023619175,0.017032862
0.07529068,0.010835171,0.024087906,0.017039537
0.076910019,0.010295868,0.026713371,0.016860723
0.074498653,0.011256695,0.023412704,0.01698494
0.076492548,0.010502577,0.028780222,0.016993999
0.076182127,0.012166739,0.028843164,0.017060995
0.074675798,0.011539698,0.022834539,0.017074108
0.075361252,0.01250577,0.021622658,0.01756525
0.072169065,0.010311365,0.027526617,0.017296553
0.070741892,0.010082483,0.024355173,0.017431259
0.075499296,0.009130001,0.019362926,0.017202377
0.077290058,0.009870768,0.021244287,0.019025803
